Id,Label,modularity_class
ai nnsozial credit system nnreeducation by change agents,ai nnsozial credit system nnreeducation by change agents,17
antwort,antwort,11
bildungs level,bildungs level,16
bill gates,bill gates,52
bill gates vrain foundation,bill gates vrain foundation,18
blut opfer nnno mind no soul verstand,blut opfer nnno mind no soul verstand,7
brauch,brauch,11
celvin klein,celvin klein,7
charta,charta,18
charta un,charta un,7
cia,cia,34
corona vaccine lockdown,corona vaccine lockdown,7
culture creating,culture creating,18
darwin,darwin,12
data mineing,data mineing,8
drama emotion,drama emotion,7
drama hysterie,drama hysterie,7
eugenik & the,eugenik & the,18
final revolution nroyal society dark science & new prometheusnnfrankenstein eugenik sozial planers - n,final revolution nroyal society dark science & new prometheusnnfrankenstein eugenik sozial planers - n,7
finish,finish,8
first infiltration,first infiltration,10
frankenstein,frankenstein,18
frequenz,frequenz,7
gatteca screening,gatteca screening,9
gesellschaft,gesellschaft,13
green slave agenda,green slave agenda,7
greta,greta,8
hass liebe,hass liebe,7
idee,idee,14
implantierbare chips,implantierbare chips,7
kann nnauch,kann nnauch,10
karl marx a. huxley,karl marx a. huxley,7
keine lehrer,keine lehrer,9
kill versace nnmodel agentur child models,kill versace nnmodel agentur child models,17
kill versace nnmodel agentur child modelsnnkapitel,kill versace nnmodel agentur child modelsnnkapitel,7
kinder nntotal,kinder nntotal,10
klasse,klasse,11
konditionen software,konditionen software,13
konstante kritik,konstante kritik,7
learning,learning,15
macy conferenz nnbio hacking,macy conferenz nnbio hacking,14
manchurian kandidat,manchurian kandidat,7
marx,marx,7
marxismus liberal groups,marxismus liberal groups,15
massen,massen,7
methoden technik,methoden technik,17
msm,msm,70
msm illusion nnfake religion nnhomonculus - formbarer mensch nngolam,msm illusion nnfake religion nnhomonculus - formbarer mensch nngolam,7
order nntopic culture,order nntopic culture,18
pavlov programmierung nnbelohnung stimulierung,pavlov programmierung nnbelohnung stimulierung,16
pre crime siri alexa,pre crime siri alexa,7
psychologie,psychologie,7
race hygien,race hygien,13
religion,religion,7
rewrite history,rewrite history,7
rise of medizin media industrie komplex,rise of medizin media industrie komplex,18
robo lehrer,robo lehrer,9
royal society bank of england british empire,royal society bank of england british empire,7
scan,scan,14
schneller lernen,schneller lernen,15
schulen nnpublic privat partner shipnnfrom start,schulen nnpublic privat partner shipnnfrom start,16
schxfcler,schxfcler,17
science philosophie kabbala,science philosophie kabbala,7
scientist,scientist,18
sigmund freud,sigmund freud,7
skinner box,skinner box,17
soul and light nnart fashion comedy sport music movie,soul and light nnart fashion comedy sport music movie,7
struktur,struktur,17
technologie,technologie,17
trends tips,trends tips,7
unesco,unesco,7
unterricht,unterricht,16
vaccine,vaccine,53
wonderland nnvirtuell death,wonderland nnvirtuell death,18
zeitgeist greta,zeitgeist greta,17
ai + robotics + vr,ai + robotics + vr,19
artificial intelligence,artificial intelligence,19
ai artificial intelligence,ai artificial intelligence,20
dew terraforming,dew terraforming,20
katherine horton,katherine horton,20
ai division should put an immediate halt,ai division should put an immediate halt,21
ai organization,ai organization,21
ai systems,ai systems,21
big tech,big tech,21
cell phone carriers,cell phone carriers,21
cyrus a. parsa,cyrus a. parsa,21
trump administration,trump administration,21
vaccines,vaccines,87
reality,reality,18
ai technology,ai technology,69
conditions,conditions,69
flu,flu,69
g - takes,g - takes,69
hong kong,hong kong,69
leaked,leaked,69
radar,radar,69
russia,russia,69
spanish,spanish,69
transmitting radar,transmitting radar,69
virus,virus,69
air canada,air canada,22
all night,all night,22
ammonia,ammonia,22
canada,canada,22
central america,central america,22
fogging,fogging,22
fulford,fulford,22
houston,houston,22
pdf,pdf,22
united,united,22
viraclean,viraclean,22
wikipedia,wikipedia,22
air force,air force,24
amy coney barrett,amy coney barrett,24
azazel news,azazel news,23
barrett,barrett,24
chinese,chinese,66
clown usa,clown usa,24
communist,communist,24
defense news,defense news,24
huawei,huawei,64
hydrogen,hydrogen,24
india,india,23
indian,indian,64
indian air force,indian air force,24
joe rogan,joe rogan,24
joe rogan spotify,joe rogan spotify,24
liaoning,liaoning,24
medical news,medical news,24
navy,navy,24
next generation air dominance ngad,next generation air dominance ngad,24
ngad,ngad,24
nyt,nyt,24
pla navy,pla navy,24
post emp nyc,post emp nyc,24
ron paul,ron paul,24
spotify,spotify,24
spotify staffers,spotify staffers,24
ten day war,ten day war,24
ufc,ufc,24
us navy,us navy,24
war zone,war zone,24
will roper,will roper,24
al club bilderberg,al club bilderberg,25
che gli,che gli,25
che vi,che vi,25
con,con,25
con conflitti,con conflitti,25
condividetelo,condividetelo,25
mettiamo,mettiamo,25
nemmeno il nostro consenso,nemmeno il nostro consenso,25
questi giorni gli,questi giorni gli,25
vittorio colao,vittorio colao,25
alert,alert,26
columbus,columbus,26
jpmorgan chase bank global data center,jpmorgan chase bank global data center,26
alex newman,alex newman,27
american dharma,american dharma,27
"anarchy, usa","anarchy, usa",27
are public schools harming,are public schools harming,27
b.c,b.c,27
cataclysm,cataclysm,27
charlotte iserbyt,charlotte iserbyt,27
churchill,churchill,27
commentary on pelosi,commentary on pelosi,27
common core,common core,27
corbett report,corbett report,27
dave murphy,dave murphy,27
discovery,discovery,27
don,don,27
doug collins,doug collins,27
economics of national,economics of national,27
education,education,27
edward griffin,edward griffin,27
ezra taft benson,ezra taft benson,27
george lincoln rockwell,george lincoln rockwell,27
grand,grand,27
hating breitbart,hating breitbart,27
henry m morris,henry m morris,27
hoaxed,hoaxed,27
iranian,iranian,27
irvin schiff,irvin schiff,27
irving examines,irving examines,27
jekyll island,jekyll island,27
life and death of heinrich,life and death of heinrich,27
lipstadt,lipstadt,27
mayo,mayo,27
milton friedman,milton friedman,27
noah's ark,noah's ark,27
nuremberg,nuremberg,27
nuremburg,nuremburg,27
occupy unmasked,occupy unmasked,27
perfect,perfect,27
peter schiff,peter schiff,27
plandemic,plandemic,27
poland,poland,27
protocols of the learned elders of zion,protocols of the learned elders of zion,27
samuel l. blumenfeld n,samuel l. blumenfeld n,27
search for truth in history,search for truth in history,27
social engineering,social engineering,27
speech,speech,27
tony martin,tony martin,27
trayvon hoax,trayvon hoax,27
uncle tom,uncle tom,27
world war ii,world war ii,27
yuri bezmenov,yuri bezmenov,27
all the hours,all the hours,28
cds,cds,28
hisopados,hisopados,28
public health department,public health department,28
school,school,28
senate,senate,28
universities,universities,28
uruguay,uruguay,28
alreed webre,alreed webre,85
citizen justice,citizen justice,85
karen lucyk macdonald,karen lucyk macdonald,85
mark steele,mark steele,85
rockefeller,rockefeller,85
schnallt euch,schnallt euch,85
simple plan for,simple plan for,85
alright,alright,29
benidorm,benidorm,29
cabal,cabal,35
chill,chill,29
cyntha,cyntha,29
dutch,dutch,29
f. m. m. and a,f. m. m. and a,29
janet,janet,29
janet ossebaard,janet ossebaard,29
joost knevel,joost knevel,29
maps,maps,29
satnav,satnav,29
tomtom,tomtom,29
always,always,30
emergency broadcast,emergency broadcast,30
fema,fema,30
graphine oxide,graphine oxide,30
unvaccinated nn,unvaccinated nn,30
amazon,amazon,31
rob braxton,rob braxton,31
amc entertainment,amc entertainment,32
american,american,36
american security institute,american security institute,32
chinese communist party,chinese communist party,40
cirrus wind energy,cirrus wind energy,32
communist party,communist party,32
complete genomics,complete genomics,32
first international oil,first international oil,32
fox news,fox news,32
g.e. appliances,g.e. appliances,32
guardian,guardian,32
hong kong stock exchange,hong kong stock exchange,32
human rights watch,human rights watch,32
ibm,ibm,32
legendary entertainment,legendary entertainment,32
legendary entertainment group,legendary entertainment group,32
mattituck services,mattituck services,32
motorola mobility,motorola mobility,32
nexteer automotive,nexteer automotive,32
p.c,p.c,32
paulson institute,paulson institute,32
riot games,riot games,32
smithfield,smithfield,32
smithfield foods,smithfield foods,32
teledyne continental motors,teledyne continental motors,32
terex corp,terex corp,32
times square,times square,32
triple h coal,triple h coal,32
tylenol,tylenol,32
under xi jinping,under xi jinping,32
united states,united states,55
western,western,32
wh group,wh group,32
zonare medical systems,zonare medical systems,32
america,america,34
americans,americans,34
anonymous,anonymous,34
apple,apple,34
apple glass,apple glass,34
armed services committee,armed services committee,33
asia,asia,62
boston,boston,34
catholic,catholic,60
catholic priest caught,catholic priest caught,60
ccp,ccp,60
channel,channel,62
charles lieber,charles lieber,33
church of scientology,church of scientology,34
counterfeit,counterfeit,60
digital silk road,digital silk road,33
dominatrix,dominatrix,60
emr,emr,60
eod,eod,34
europe,europe,57
fbi,fbi,33
graphene,graphene,87
harvard,harvard,33
hindu,hindu,34
horn news,horn news,36
horn newsndear reader,horn newsndear reader,36
hubei province,hubei province,33
julie ball,julie ball,33
keep preparing guys,keep preparing guys,60
klfy,klfy,60
knucklehead,knucklehead,34
lol,lol,34
louisiana,louisiana,60
melissa cheng,melissa cheng,60
michael robinson,michael robinson,36
mindy dixon,mindy dixon,60
mitochondria & coronavirus - a tale of depolarization,mitochondria & coronavirus - a tale of depolarization,60
money morning,money morning,36
nsa,nsa,34
optics matter,optics matter,34
patrick shanahan,patrick shanahan,33
pompeo,pompeo,65
qatar,qatar,34
quantum,quantum,33
senate armed services committee,senate armed services committee,33
silk road,silk road,33
super quick,super quick,34
this morning,this morning,36
thousand talents,thousand talents,33
thousand talents program,thousand talents program,33
travis,travis,60
travis clark,travis clark,60
u.k,u.k,65
university of technology,university of technology,33
university of virology,university of virology,33
us sec of defense,us sec of defense,33
venture capital research,venture capital research,36
west,west,34
western europe,western europe,60
white house,white house,33
world cup,world cup,34
world health organization,world health organization,60
wuhan commission for economics and information technology,wuhan commission for economics and information technology,33
wuhan university of technology,wuhan university of technology,33
youtube,youtube,34
youtubers,youtubers,33
anthony weiner,anthony weiner,35
at&t,at&t,36
bank account,bank account,35
blockchain system,blockchain system,35
central bank of germany,central bank of germany,35
chinese elders,chinese elders,35
clinton,clinton,35
common access cards,common access cards,36
congressional research service,congressional research service,36
deep underground military bases,deep underground military bases,35
department of energy,department of energy,36
deutsche bank,deutsche bank,35
doe,doe,36
donald trump,donald trump,35
due,due,35
ellen lord,ellen lord,36
european union,european union,87
fda,fda,36
fiat,fiat,35
first five consortium,first five consortium,36
fraud,fraud,35
g promises,g promises,36
joint ai center,joint ai center,36
killary,killary,35
life insurance,life insurance,35
microsoft,microsoft,36
nazi states of europe,nazi states of europe,35
pacific northwest national laboratory,pacific northwest national laboratory,36
pcmag,pcmag,36
quantum financial system,quantum financial system,35
quantum system,quantum system,35
sidney powell,sidney powell,35
us coin,us coin,35
weiner,weiner,35
wilfred wong,wilfred wong,35
american history,american history,38
arrokoth,arrokoth,38
arrokothn,arrokothn,38
cancun,cancun,38
chinese academy of sciences,chinese academy of sciences,38
clara,clara,38
cog,cog,38
consolidated land and rail australia,consolidated land and rail australia,38
delta,delta,38
deniliquin nsw,deniliquin nsw,38
donald j. trump,donald j. trump,38
email scandal,email scandal,38
eric holthaus,eric holthaus,38
evergreen intel,evergreen intel,38
gulf coast,gulf coast,38
hillary clinton,hillary clinton,38
hunter,hunter,70
hurricane delta,hurricane delta,38
inward,inward,38
judicial,judicial,38
max planck institute for solar system research mps,max planck institute for solar system research mps,38
mexico,mexico,38
nasa,nasa,61
national hurricane center,national hurricane center,38
nature astronomy,nature astronomy,38
new horizons,new horizons,38
noaa,noaa,38
nsw australia,nsw australia,38
russia hoax,russia hoax,38
scott morrison,scott morrison,38
solar system,solar system,38
telstra,telstra,38
telstra purple,telstra purple,38
tom,tom,38
tom jarvis,tom jarvis,38
turtle,turtle,38
uighur,uighur,38
ultima thule,ultima thule,38
utc,utc,37
xinjiang,xinjiang,38
amra,amra,39
antarctica,antarctica,39
argentina,argentina,39
argentine,argentine,39
australia,australia,39
beijing,beijing,39
chile,chile,39
chinese people's army,chinese people's army,39
emilio obelar,emilio obelar,39
guillermo paterson hospital,guillermo paterson hospital,39
idb,idb,39
jps,jps,39
jujuy,jujuy,39
kryuchkov,kryuchkov,39
ladakh,ladakh,41
marcelo villa,marcelo villa,39
national medical association,national medical association,39
nevada,nevada,39
new delhi,new delhi,39
russian,russian,39
san pedro,san pedro,39
san salvador,san salvador,39
sergio barrera,sergio barrera,39
south american,south american,39
st. petersburg polytechnic university,st. petersburg polytechnic university,39
steven chen shiqing,steven chen shiqing,39
tesla,tesla,39
ukrainian dmitry volkov,ukrainian dmitry volkov,39
wenceslao gallardo hospital,wenceslao gallardo hospital,39
an emergency grand,an emergency grand,74
boris johnson,boris johnson,74
british,british,74
forced,forced,74
freedoms,freedoms,74
fully aware,fully aware,74
g technologies,g technologies,74
gates,gates,74
getthecrinmalsout,getthecrinmalsout,74
healthy people,healthy people,74
nigeria,nigeria,74
nigerian,nigerian,74
paralyse,paralyse,74
people of our god,people of our god,74
pfizer,pfizer,74
public health,public health,74
stopvaccineterrorism,stopvaccineterrorism,74
testing kits,testing kits,74
unlawful deadly,unlawful deadly,74
wedonotconsent,wedonotconsent,74
anger,anger,42
asian,asian,42
barbed wire,barbed wire,42
bless,bless,42
gay communities are against,gay communities are against,42
headaches,headaches,42
joint global kalergi plan,joint global kalergi plan,42
know,know,42
korea,korea,42
military,military,42
nausea,nausea,42
ptsd,ptsd,42
slightly,slightly,42
snitches,snitches,42
space force,space force,42
started,started,42
symptom,symptom,42
who,who,42
anglo,anglo,57
gustavo rol,gustavo rol,57
gustavo roln,gustavo roln,57
barry,barry,70
caribbean,caribbean,70
child pornography,child pornography,70
clinton foundation global human trafficking,clinton foundation global human trafficking,70
covid,covid,70
crimes against humanity,crimes against humanity,70
deepstate intelligence,deepstate intelligence,70
earth,earth,57
first contactnnthe event,first contactnnthe event,70
hunter biden,hunter biden,70
islands,islands,70
khazarian mafia,khazarian mafia,70
maxwell pedo,maxwell pedo,70
mike,mike,70
operation mockingbird,operation mockingbird,70
organ harvesting,organ harvesting,70
pharmaceutical industry,pharmaceutical industry,70
rockefeller medical industry,rockefeller medical industry,70
state,state,70
antonin scalia,antonin scalia,43
john d. podesta,john d. podesta,43
merrick b. garland,merrick b. garland,43
obama,obama,43
serco,serco,43
ses,ses,43
supreme court,supreme court,43
walker,walker,43
apronix,apronix,44
empromax,empromax,44
icu,icu,44
intensive care unit,intensive care unit,44
italian,italian,44
italian ministry of health,italian ministry of health,44
italy,italy,44
armageddon,armageddon,62
forest,forest,62
globalists,globalists,62
haarp,haarp,62
rothschilds,rothschilds,62
world war,world war,62
auf,auf,45
biologische kriegsfxfchrung,biologische kriegsfxfchrung,45
grapheneoxid,grapheneoxid,45
haubtbestandteil,haubtbestandteil,45
impfungen,impfungen,45
pfizer biontech,pfizer biontech,45
pfizer biontech impfung,pfizer biontech impfung,45
strahlungen,strahlungen,45
aulterra,aulterra,50
cbd,cbd,50
court,court,50
emf,emf,50
henry lai,henry lai,50
nwo,nwo,57
patrick king,patrick king,50
penn state university,penn state university,50
university of washington,university of washington,50
usb house protection,usb house protection,50
france,france,6
awakened,awakened,46
channel - backup,channel - backup,46
inventory wolf,inventory wolf,46
procedures,procedures,46
baltimore,baltimore,47
beirut,beirut,47
brazil,brazil,47
early hours,early hours,47
european,european,47
fleet street,fleet street,47
global food prices rise as famine threat emerges,global food prices rise as famine threat emerges,47
indiana,indiana,47
latin american,latin american,47
montford,montford,47
north korea,north korea,47
one hour,one hour,47
ottawa,ottawa,47
outbreaks are now emerging,outbreaks are now emerging,47
palmer luckey,palmer luckey,47
patterson park,patterson park,47
peel region,peel region,47
pence,pence,47
pumpkin,pumpkin,47
secy pompeo,secy pompeo,47
south korea,south korea,47
toronto,toronto,47
travis akers,travis akers,47
backup,backup,53
declares,declares,53
fleet & grand solar,fleet & grand solar,53
gemini,gemini,53
great awakening,great awakening,53
time,time,53
trump connections,trump connections,53
trump n- anonymous,trump n- anonymous,53
trump-world coming,trump-world coming,53
barcelona,barcelona,87
spain,spain,87
barr,barr,48
coronavirus syndrome,coronavirus syndrome,48
ebv,ebv,48
ebv-stage,ebv-stage,48
epstein,epstein,48
barrie trower,barrie trower,58
german,german,58
gov advicer,gov advicer,58
royal navy,royal navy,58
barry trower,barry trower,6
truth,truth,6
behavioral control,behavioral control,49
graphine oxide + nano particles,graphine oxide + nano particles,49
believe,believe,70
believers,believers,1
beobachten sie,beobachten sie,50
g & the iot,g & the iot,50
graphine,graphine,50
ihre zellen,ihre zellen,50
ihrem inneren,ihrem inneren,50
ihren blutkreislauf,ihren blutkreislauf,50
impfung,impfung,50
infrastruktur,infrastruktur,50
schaden,schaden,50
sie,sie,50
stellen sie,stellen sie,50
und,und,50
verbindung,verbindung,50
best buy,best buy,51
sprint,sprint,51
bush,bush,58
conspiracies are evil theories,conspiracies are evil theories,58
credito sociale,credito sociale,52
donald j.trump,donald j.trump,58
g & vaccine deception,g & vaccine deception,58
great reset,great reset,52
il cronoprogramma dei,il cronoprogramma dei,52
illuminati insider reveals plans new world order,illuminati insider reveals plans new world order,58
massa,massa,52
militari,militari,52
vax,vax,52
bio weapon vaccine,bio weapon vaccine,53
flying,flying,53
biological,biological,54
dermatologic cells & transferred to other cells & produce,dermatologic cells & transferred to other cells & produce,54
bird,bird,55
croatia,croatia,55
birmingham,birmingham,74
chelmsley,chelmsley,74
fearnleys mill,fearnleys mill,74
huddersfield,huddersfield,74
morning,morning,74
nightingale hospital,nightingale hospital,74
vodafone,vodafone,74
bitchute,bitchute,56
guy,guy,56
last night,last night,56
black rock,black rock,74
famer,famer,74
fcc,fcc,74
brexit,brexit,57
christchurch,christchurch,57
collection of information,collection of information,57
content,content,57
download,download,57
e.u,e.u,57
great awakening film collab,great awakening film collab,57
great awakening film collab majesticn- q anonn- deepstate,great awakening film collab majesticn- q anonn- deepstate,57
notre dame terror attack,notre dame terror attack,57
original creators,original creators,57
plain,plain,57
qanon,qanon,57
series,series,57
storm is here,storm is here,57
thanq,thanq,57
united kingdom,united kingdom,57
united states of america,united states of america,57
britain,britain,91
dw source field investigation,dw source field investigation,58
emery smith,emery smith,58
google earth,google earth,58
jordan,jordan,58
jordan sather intelegram,jordan sather intelegram,58
morocco,morocco,58
nassim haramein,nassim haramein,58
nesara,nesara,58
solaris,solaris,58
buttar,buttar,42
byron,byron,59
suffolk,suffolk,59
explained,explained,67
north east coast,north east coast,67
rauscher,rauscher,2
san leandro,san leandro,2
washington,washington,67
captian,captian,78
eastern,eastern,78
just early this morning,just early this morning,78
west virginia,west virginia,78
cctv,cctv,60
djt,djt,66
lancet,lancet,66
twitter,twitter,60
d.u.m.b.s,d.u.m.b.s,61
deep state,deep state,61
george orwell,george orwell,61
hollywood,hollywood,61
pools,pools,61
summer on fire,summer on fire,61
zombie apocalypse,zombie apocalypse,61
cessna,cessna,1
few hours,few hours,1
raytheon sentinel,raytheon sentinel,1
terminator,terminator,1
faculty of electrical engineering,faculty of electrical engineering,62
memorandum,memorandum,62
memorandum of cooperation,memorandum of cooperation,62
montenegro,montenegro,62
charlie,charlie,58
stick,stick,58
child health,child health,6
division of reproductive biology & maternal health,division of reproductive biology & maternal health,6
indian council of medical research,indian council of medical research,6
china association of medical equipment came,china association of medical equipment came,64
china mobile,china mobile,64
china telecom,china telecom,64
china war on america infographic,china war on america infographic,63
chinese telecom giant huawei,chinese telecom giant huawei,53
corona-virus,corona-virus,65
eric trump,eric trump,63
fisa infographic,fisa infographic,63
founder,founder,53
future university,future university,66
g hospital network standard,g hospital network standard,64
hilary clinton - insurance,hilary clinton - insurance,63
huawei cfo,huawei cfo,53
ict,ict,66
michael flynn,michael flynn,63
mlk - assassination committee,mlk - assassination committee,63
renames & destroys,renames & destroys,65
russia & big tech,russia & big tech,65
smart city,smart city,66
space forcennnnn,space forcennnnn,1
susan rice e,susan rice e,63
tech giants expansion,tech giants expansion,66
trump admin,trump admin,65
combat team,combat team,67
fort lewis,fort lewis,67
us army,us army,67
conditioning,conditioning,68
frequencies,frequencies,68
tainted,tainted,69
corona,corona,62
corona virus,corona virus,62
new world order,new world order,62
queen of england,queen of england,62
iran,iran,69
northern italy,northern italy,69
tot,tot,0
covfe,covfe,1
fecov,fecov,1
vcofe,vcofe,1
etc,etc,70
patriots,patriots,70
phones,phones,70
zaia,zaia,70
covid quackccines - a report,covid quackccines - a report,87
fifth column,fifth column,87
graphene flagship,graphene flagship,87
graphene oxide,graphene oxide,87
nanotech,nanotech,87
pcr,pcr,87
quackccines,quackccines,87
quinta columna,quinta columna,87
covid vaccines - a,covid vaccines - a,87
fifth columnnngraphene oxide,fifth columnnngraphene oxide,87
cuba,cuba,6
darpa-gates,darpa-gates,71
implantable,implantable,71
dearest,dearest,6
death ray not being installed,death ray not being installed,72
jason boss,jason boss,72
deep state company,deep state company,73
operation freedom emergency alert,operation freedom emergency alert,73
private home,private home,73
dell,dell,74
michael,michael,74
der impfstoff,der impfstoff,75
die regierung,die regierung,75
gedankenkontrolle,gedankenkontrolle,75
gehirn,gehirn,75
ihre stimmungen,ihre stimmungen,75
impulsen,impulsen,75
nanopartikel,nanopartikel,75
neuromodulation,neuromodulation,75
schaffung von kxfcnstlichen,schaffung von kxfcnstlichen,75
wesentlichen,wesentlichen,75
deutsche xdcbersetzung zuschaltbar,deutsche xdcbersetzung zuschaltbar,76
g apocalypse - the,g apocalypse - the,76
sacha stone,sacha stone,76
doomsday disclosure,doomsday disclosure,77
liam,liam,77
operation freedom,operation freedom,78
operation freedom meeting,operation freedom meeting,78
operation meetings,operation meetings,78
eat,eat,6
ebs,ebs,30
egyptians,egyptians,6
pine,pine,6
pinon,pinon,6
pinon pine,pinon pine,6
pinon pine hydrosol,pinon pine hydrosol,6
small,small,6
suramin,suramin,6
vit,vit,6
orgone energy,orgone energy,50
emfs,emfs,57
evergreen,evergreen,79
turkey,turkey,79
fake,fake,53
fauci,fauci,80
liberty media,liberty media,80
nih study reveals,nih study reveals,80
g trumper,g trumper,33
nashville,nashville,33
french,french,6
macron,macron,6
montpellier,montpellier,6
frank clegg,frank clegg,81
von canadians,von canadians,81
furthur,furthur,78
g & troupe,g & troupe,82
national defense authorization act,national defense authorization act,82
"national monuments, & allow","national monuments, & allow",82
national security,national security,82
ndaa,ndaa,82
g bio shield,g bio shield,83
s.p,s.p,83
g bioshield,g bioshield,84
simon parkes,simon parkes,84
gateshead,gateshead,85
lee garrett,lee garrett,85
mark,mark,85
northumbria police,northumbria police,85
gps,gps,86
hal turner,hal turner,86
stream & download,stream & download,86
martin geddes,martin geddes,87
nac,nac,87
pangolin,pangolin,87
yep wuhan,yep wuhan,87
mms,mms,87
spike protein,spike protein,87
groningen,groningen,88
koningsweg,koningsweg,88
guerra mondiale tramite,guerra mondiale tramite,89
morse,morse,89
project blue nbeam,project blue nbeam,89
zum thema,zum thema,64
iot,iot,90
tianjin port container terminal,tianjin port container terminal,90
rabin square,rabin square,91
tel aviv,tel aviv,91
just a few million dollars,just a few million dollars,92
paul allen,paul allen,92
ricochet,ricochet,92
san diego,san diego,92
liebe,liebe,93
matrix,matrix,93
offenlegung,offenlegung,93
popkultur,popkultur,93
london,london,94
st james park,st james park,94
magellan,magellan,53
zombie,zombie,53
mark passio,mark passio,1
orion beings,orion beings,1
reds,reds,1
socialist,socialist,36
millimeter,millimeter,95
rfr,rfr,95
politicans,politicans,70
new york city,new york city,6
q+anons chatroom,q+anons chatroom,57
satellite,satellite,96
towers,towers,96
spock,spock,97
star trek,star trek,97
sweden,sweden,98
zte,zte,98
trippy,trippy,6
